Фамилия,Имя,Отчество,Прежние ФИО,Дата рождения,Место рождения,СНИЛС,ИНН,Вид документа,Серия и номер,Субъект Российской Федерации,Район,Город,Населенный пункт,Улица,Номер дома,Номер корпуса,Номер квартиры,Тип недвижимости,Вид собственности (недвижимость),Адрес недвижимости,Площадь (кв.м),Основание приобретения (недвижимость),Стоимость (недвижимость),Залог (недвижимость),Тип транспортного средства,Марка (транспорт),Год изготовления (транспорт),Идентификационный номер (VIN),Вид собственности (транспорт),Место нахождения/хранения (транспорт),Стоимость (транспорт),Залог (транспорт),Наименование банка/кредитной организации,Адрес банка/кредитной организации,Вид счета,Валюта счета,Дата открытия счета,Остаток на счете (руб.),Наименование организации,Организационно-правовая форма,Адрес организации,Уставный капитал (руб.),Паевой фонд (руб.),Доля участия (%),Основание участия,Вид ценной бумаги,Лицо выпустившее ценную бумагу,Номинальная величина обязательства (руб),Общее количество,Общая стоимость (руб),Наличные денежные средства,Адрес хранения наличных,Драгоценности,Адрес хранения драгоценностей,Предметы искусства,Адрес хранения предметов искусства,Имущество для профессиональных занятий,Адрес хранения имущества,Иное ценное имущество,Адрес хранения иного имущества,Ссылка на документ,ID
Рыбакова,Тихон,Федоровна,Казакова Артемий Юльевич,2/16/1982,ст. Ейск,196191355309,2795877031,Паспорт,"3,226,263,373",Хабаровский край,Южный,к. Яшкуль,Село,пр. Надежды,152,3,5,Иное недвижимое имущество,Государственная,"бул. Мелиоративный, д.101, кв.45",280,Наследство,4537619,Да,Сельскохозяйственная техника,Нефтетранссервис,2011,eIq-404778,Государственная,"д. Шарья, пр. Герцена, д. 3/9 к. 632, 582553",485693,Нет,ИП «Юдина Фомичева» Банк,"г. Липецк, пр. Чапаева, д. 818 к. 82, 052721",Текущий счет,EUR,8/10/2021,4480154,Профитмед,ОАО,"ст. Братск, алл. Майская, д. 7 стр. 6/6, 470371",3606505,46340765,56.53,Вклад в уставный капитал,Облигация,ООО «Власов»,15195,1694,27407,453737,"пр. Просвещения, д.133",128459,"пр. Большой, д.69",255543,"пр. Революционный, д.58",51512,"пр. Тульский, д.169",17154,"бул. Красноярский, д.149",https://docs.google.com/document/d/1zk6btrobjBiLbnt0KqWnyuMEvaFGPLd6lSQXFVqKqHw/edit?usp=sharing,9e0ec564-a3e2-4b10-a62a-766b8e1eb1e3
Бобылев,Измаил,Жанович,Ермакова Ираклий Натановна,11/24/1974,с. Орел,864357670980,2996473863,Водительское удостоверение,"4,867,646,534",Ямало-Ненецкий АО,Восточный,д. Лысьва,Деревня,алл. Терешковой,170,4,75,Иное недвижимое имущество,Муниципальная,"пр. Металлистов, д.99, кв.15",475,Дарение,4343882,Нет,Водный транспорт,ООО «Панова Симонов»,2022,BPP-515870,Частная,"клх Листвянка (Иркут.), пер. Саратовский, д. 405 к. 98, 343367",346028,Да,ЛГ Электроникс Рус (LG) Банк,"д. Новороссийск, алл. Проточная, д. 34, 454816",Депозитный счет,RUB,3/11/2021,1160716,"ОАО «Белоусов, Павлова и Шилова»",ООО,"с. Кырен, пер. Песчаный, д. 4/7 стр. 175, 696924",47400081,48652009,28-Dec,Вклад в уставный капитал,Вексель,"ОАО «Смирнов, Филиппов и Хохлова»",14785,2943,93459,82334,"бул. Раздольный, д.41",83793,"ш. Горное, д.41",53868,"бул. Пограничный, д.191",35179,"алл. Орловская, д.131",191796,"ул. Серова, д.71",https://docs.google.com/document/d/1uHtxHqChhrVKpX2tkZkCk8gt2vMFIERGChPLTgV_Tr8/edit?usp=sharing,d41a0fdf-ae48-4217-a6eb-6ee65ae73cb2
Ермакова,Касьян,Федосеевич,Дмитриева Лазарь Алексеевна,9/24/1945,клх Брянск,246652650824,6113170191,Паспорт,"6,327,955,408",Пензенская обл.,Центральный,г. Невинномысск,Село,ул. Спортивная,16,6,6,Земельный участок,Государственная,"алл. Советская, д.132, кв.60",383,Купля-продажа,4544901,Нет,Иное транспортное средство,ИП «Антонов»,2004,BOL-166423,Муниципальная,"г. Мезень, ш. Ростовское, д. 465 стр. 993, 226682",383567,Нет,НПО «Матвеев» Банк,"д. Певек, пр. Чапаева, д. 6, 307114",Сберегательный счет,RUB,2/8/2023,3030134,АО «Гущин Михайлов»,ЗАО,"с. Красновишерск, пер. Раздольный, д. 594 стр. 7/7, 744289",2821068,4712800,31.98,Приватизация,Вексель,НПО «Галкин-Медведева»,18797,5503,255931,60353,"алл. Заливная, д.112",214762,"ш. Амурское, д.57",73976,"наб. Куйбышева, д.9",226581,"ш. Первомайское, д.30",211314,"наб. Зои Космодемьянской, д.6",https://docs.google.com/document/d/1uhwHz_U5DeA-N57cmYhrsG7WySvyO_sF4TNVbs8Ones/edit?usp=sharing,c97d570f-d18b-46ce-9401-90aa2335b702
Громов,Милица,Венедиктович,Крюкова Панфил Николаевна,9/20/1936,п. Обоянь,461971797946,9782849233,Водительское удостоверение,"4,446,819,389",Московская обл.,Южный,п. Норильск,Поселок,пр. Фрунзе,83,3,60,Квартира,Частная,"алл. Некрасова, д.88, кв.31",243,Дарение,1714988,Да,Легковой автомобиль,Исаева и партнеры,2020,Eyy-802285,Государственная,"ст. Любань, пер. Толбухина, д. 1/4 стр. 5/3, 462556",2810593,Нет,"ИП «Федоров, Соболева и Беспалова» Банк","г. Уссурийск, ш. Буденного, д. 8/9 к. 84, 924199",Депозитный счет,RUB,5/1/2023,4642145,Панова Инк,ОАО,"ст. Мирный, алл. Белинского, д. 8/9, 911419",21149421,45816936,70.8,Вклад в уставный капитал,Опцион,ООО «Хохлова Маслов»,28483,7109,268033,48586,"ул. Микрорайон, д.200",170593,"пер. Кошевого, д.93",347552,"пер. Поперечный, д.97",184036,"наб. Лазо, д.183",44895,"ул. Р.Люксембург, д.104",https://docs.google.com/document/d/1ww1X2vPF4XudgA92CsmYfwjrBTxMoodaSN7MQQc6vUo/edit?usp=sharing,1c0aa502-c76b-49c8-9c1c-4d06a267ecc3
Казакова,Чеслав,Ярославович,Потапов Касьян Алексеевич,1/11/1966,клх Шатки,146883462415,8082230361,Паспорт,"8,590,907,221",Чукотский АО,Западный,г. Сусуман,Деревня,ш. Больничное,128,6,64,Жилой дом,Муниципальная,"наб. Ленинская, д.22, кв.62",88,Купля-продажа,3223689,Да,Грузовой автомобиль,Мамонтов Групп,2018,YkI-501270,Частная,"ст. Курильск, ш. 40 лет Победы, д. 683 к. 7/2, 713053",1912037,Да,НПО «Цветкова Беспалов» Банк,"д. Советский, пр. Зои Космодемьянской, д. 98 к. 110, 303178",Текущий счет,RUB,8/19/2017,2808668,ООО «Наумов-Семенова»,ООО,"к. Славянск-на-Кубани, пер. Запрудный, д. 8/6 стр. 6/6, 349051",36978559,6360518,60.71,Вклад в уставный капитал,Опцион,ИП «Шашкова Артемьева»,12397,2022,179981,387143,"пр. Курортный, д.112",15638,"ш. Гоголя, д.3",85578,"пр. Докучаева, д.17",101453,"ш. Ягодное, д.141",130587,"пер. Таманский, д.147",https://docs.google.com/document/d/1AswbwppWjZvvroQ-L-YGXa9BPpdWNqmYfXU-ENQv27o/edit?usp=sharing,2c3af10b-bf53-435c-ac7f-4dda73ea67d2
Жуков,Добромысл,Еремеевич,Евсеев Мир Димитриевич,2/21/1962,клх Комсомольск-на-Амуре,850066266547,1919696311,Свидетельство о рождении,"1,296,387,062",Пермский край,Западный,с. Магнитогорск,Поселок,пр. Л.Толстого,35,3,34,Земельный участок,Государственная,"ул. Молодежная, д.47, кв.69",260,Купля-продажа,1335225,Да,Воздушный транспорт,Гордеева Инкорпорэйтед,1971,gWm-552096,Государственная,"ст. Поярково, ш. Олега Кошевого, д. 7/1, 076575",425907,Да,АО «Шестаков» Банк,"с. Киренск, пр. Урожайный, д. 958 к. 1, 951734",Депозитный счет,USD,11/7/2019,4395339,РАО «Рыбакова Суворова»,ООО,"п. Зеленоград, бул. Трактовый, д. 8 к. 7/9, 683102",18228104,3587511,85.41,Вклад в уставный капитал,Фьючерс,Агафонова Лимитед,31327,7006,286390,232070,"ш. О.Кошевого, д.31",105022,"пр. Вишневый, д.173",66351,"алл. Мира, д.160",179677,"наб. Гражданская, д.123",79404,"пер. Кубанский, д.95",https://docs.google.com/document/d/1nJCl5CvfwwkFMEo09ckdBGTYBNTFW64S3G2PfmIQid8/edit?usp=sharing,c08b44d0-5ccb-46f8-80f2-e9ecf8ab9d5a
Филатов,Станислав,Фомич,Кузьмин Зоя Зиновьевич,5/19/1974,д. Краснотурьинск,243109039999,5401446691,Свидетельство о рождении,"2,906,238,505",Хабаровский край,Западный,к. Краснодар,Поселок,пр. Марта 8,180,2,26,Гараж,Частная,"пер. Вокзальный, д.82, кв.11",159,Дарение,1674494,Нет,Иное транспортное средство,"ООО «Галкина, Кошелев и Носкова»",2010,nlc-269421,Государственная,"с. Барнаул, пр. Подстанция, д. 818 к. 2/3, 621521",4148965,Нет,АО «Игнатова» Банк,"ст. Белореченск, ул. Водопроводная, д. 3, 239768",Депозитный счет,EUR,6/19/2020,2919136,АО «Шаров»,ООО,"г. Выборг, алл. Есенина, д. 2, 896619",41012656,47923916,80.83,Покупка акций,Вексель,ИП «Симонова»,35552,5914,361881,188514,"наб. Кирпичная, д.50",224339,"пер. Трактовый, д.138",173628,"алл. Суворова, д.26",195171,"бул. Есенина, д.102",47360,"бул. Фестивальный, д.115",https://docs.google.com/document/d/1hQPfkBU-eNlM88hMwB1_vDguHqK_rWwUr9w5tqlxlwM/edit?usp=sharing,2590a9f8-04f0-40b5-bcde-9b3979c98ee3
Комиссарова,Елисей,Петровна,Капустин Ефим Жоресович,8/14/1957,г. Токсово,277948961803,5533234900,Свидетельство о рождении,"9,985,716,799",Тульская обл.,Южный,ст. Яр-Сале,Поселок,наб. Мирная,145,8,95,Гараж,Государственная,"ш. Ангарское, д.178, кв.7",330,Купля-продажа,2635898,Да,Воздушный транспорт,Дорофеев Инкорпорэйтед,1999,GKM-938033,Государственная,"д. Нарым, ул. Отрадная, д. 905, 493632",4567676,Да,"НПО «Миронова, Галкина и Никифорова» Банк","ст. Шарья, пер. Детский, д. 2, 663965",Текущий счет,RUB,4/11/2020,4676034,АО «Осипова-Пахомова»,ООО,"клх Токсово, ш. Горняцкое, д. 60 стр. 6, 247211",41923458,17935456,65.67,Покупка акций,Фьючерс,"ОАО «Князева, Ершов и Панфилова»",18936,3299,484869,128498,"пр. Байкальский, д.42",117025,"ул. Школьная, д.93",472352,"пер. Волочаевский, д.51",84434,"пр. Мусы Джалиля, д.174",127864,"ш. Маркса Карла, д.163",https://docs.google.com/document/d/1cAnx_bys9a4F2xWqN12v41zVA5UEa_BkiqdFFDrqusM/edit?usp=sharing,12478399-ea3c-4674-8020-0a4596bb63e2
Зимин,Мечислав,Жанович,Ситникова Аполлинарий Харлампович,5/8/1972,клх Туапсе,566158293772,1723992247,Свидетельство о рождении,"3,338,666,644",респ. Тыва,Восточный,ст. Сковородино,Деревня,пр. Культуры,21,1,81,Жилой дом,Муниципальная,"наб. Тракторная, д.124, кв.5",179,Дарение,3028738,Нет,Легковой автомобиль,Балтийская топливная компания,2005,IuX-642649,Государственная,"клх Кондопога, пр. Краснофлотский, д. 67 к. 63, 395671",2875668,Нет,"ИП «Веселов, Кошелев и Лазарева» Банк","д. Архыз, ул. Лермонтова, д. 964 стр. 2, 579191",Депозитный счет,EUR,12/21/2015,2475877,ГК Мега-Авто,ОАО,"п. Усть-Ишим, наб. Серова, д. 6 к. 937, 216883",46695704,12876986,25.99,Покупка акций,Опцион,Пахомов Инк,37525,936,474363,104760,"ул. Микрорайон, д.194",56194,"ул. Тамбовская, д.106",167413,"наб. Кочубея, д.188",49413,"ш. 1 Мая, д.168",81319,"наб. Некрасова, д.11",https://docs.google.com/document/d/1H27_9fxDvuU800nlJWWAYcXlaYoaKPvSzQuw2Kuzrck/edit?usp=sharing,b6c03f76-1ef0-4574-a8aa-a8e6b3cf1d86
Голубев,Гедеон,Васильевич,Лебедев Святослав Ильясович,4/2/1943,клх Асбест,884738057725,4704991073,Свидетельство о рождении,"2,017,938,606",респ. Алтай,Южный,ст. Пенза,Поселок,алл. Титова,200,4,20,Гараж,Муниципальная,"пр. Ватутина, д.23, кв.18",500,Наследство,141278,Да,Легковой автомобиль,Русснефть,1982,rrN-495031,Муниципальная,"с. Темрюк, наб. Попова, д. 2/9, 571153",495594,Да,"НПО «Симонов, Корнилова и Воробьев» Банк","с. Нарьян-Мар, пр. Путевой, д. 9/5 стр. 9, 967061",Депозитный счет,EUR,6/1/2020,2484828,Константинова и партнеры,ООО,"клх Серебряные Пруды, ш. Логовое, д. 34 стр. 31, 070041",46828251,27802523,85.84,Покупка акций,Облигация,НПО «Турова-Рябова»,29747,9017,88218,337756,"пр. Просторный, д.176",117615,"ул. Коммунистическая, д.9",101215,"ул. Лунная, д.26",143129,"алл. Геологическая, д.155",62054,"пер. Беляева, д.97",https://docs.google.com/document/d/1SWzXFSFNq0pvRW1aqK80M7wA5XUr4dN-uIbP5Yo1YL4/edit?usp=sharing,f0ffc0f5-e70c-4c86-812c-b20b7b45dfa2
Наумов,Агата,Ефимьевич,Попова Фрол Робертовна,5/29/1975,к. Кемерово,805577129658,4688674821,Свидетельство о рождении,"8,596,484,976",Ставропольский край,Центральный,к. Челюскин,Поселок,ш. Спортивное,148,6,17,Дача,Государственная,"наб. Фадеева, д.46, кв.93",170,Дарение,3328914,Нет,Иное транспортное средство,ИП «Сорокина Кудряшова»,1998,FtI-486438,Государственная,"с. Усть-Кулом, наб. Красногвардейская, д. 3/2, 922766",2019579,Нет,"ЗАО «Нестеров, Муравьев и Алексеев» Банк","с. Буденновск, пер. Сенной, д. 5 к. 5/1, 213287",Сберегательный счет,EUR,4/23/2020,3570670,Лебедев Лимитед,ООО,"к. Беломорск, алл. Сиреневая, д. 95, 766132",40394436,12879559,95.55,Вклад в уставный капитал,Акция,ООО «Семенов Цветкова»,15273,2013,144944,436330,"пр. Проточный, д.158",62611,"ул. Профсоюзная, д.30",334604,"пр. Советской Армии, д.185",122080,"пр. Школьный, д.9",167174,"пр. Стахановский, д.71",https://docs.google.com/document/d/170YjkxIfTZA4cKvtoZXKQ04nWidzRjHnw6WM83gj8Hs/edit?usp=sharing,27b04976-0c96-43bc-9a46-3d40ab95020c
